Annee,Paris,Seine-et-Marne,Yvelines,Essonne,Hauts-de-Seine,Seine-Saint-Denis,Val-de-Marne,Val-d’Oise,Île-de-France
1968,2 590 771,604 340,854 382,673 325,1 461 619,1 249 606,1 121 319,693 269,9 248 931
1975,2 299 830,755 762,1 082 296,923 061,1 438 930,1 322 127,1 215 674,840 885,9 878 565
1982,2 176 243,887 112,1 196 111,987 988,1 387 039,1 324 301,1 193 655,920 598,10 073 059
1990,2 150 147,1 077 206,1 305 076,1 083 245,1 389 416,1 378 576,1 213 446,1 047 553,10 644 665
1991,2 145 912,1 095 235,1 314 925,1 093 658,1 392 369,1 380 953,1 215 154,1 057 350,10 695 556
1992,2 139 928,1 115 222,1 326 185,1 105 974,1 394 910,1 384 908,1 218 450,1 067 699,10 753 276
1993,2 132 475,1 131 179,1 333 814,1 115 400,1 395 461,1 387 427,1 221 158,1 076 500,10 793 414
1994,2 129 856,1 146 990,1 340 268,1 122 103,1 399 157,1 389 787,1 222 214,1 082 848,10 833 223
1995,2 120 545,1 159 421,1 345 471,1 127 647,1 403 081,1 389 976,1 221 918,1 090 916,10 858 975
1996,2 116 512,1 169 827,1 350 539,1 131 399,1 406 949,1 389 668,1 221 145,1 097 809,10 883 848
1997,2 110 869,1 176 289,1 353 180,1 131 514,1 412 292,1 388 804,1 222 429,1 100 050,10 895 427
1998,2 111 315,1 182 543,1 353 723,1 133 653,1 419 110,1 386 023,1 225 473,1 100 782,10 912 622
1999,2 123 686,1 191 775,1 353 945,1 133 836,1 427 888,1 383 319,1 227 030,1 104 533,10 946 012
2000,2 130 437,1 202 569,1 360 971,1 142 510,1 441 711,1 394 625,1 235 568,1 111 855,11 020 246
2001,2 137 419,1 214 608,1 368 823,1 151 770,1 457 006,1 406 808,1 244 604,1 119 485,11 100 523
2002,2 142 059,1 226 491,1 375 717,1 160 796,1 472 021,1 419 219,1 252 769,1 126 936,11 176 008
2003,2 146 938,1 238 621,1 382 095,1 169 826,1 486 724,1 431 491,1 261 180,1 133 742,11 250 617
2004,2 149 006,1 250 483,1 388 235,1 178 354,1 501 171,1 443 186,1 268 947,1 140 590,11 319 972
2005,2 153 602,1 260 467,1 394 843,1 187 807,1 516 650,1 459 074,1 278 892,1 147 984,11 399 319
2006,2 181 371,1 273 488,1 395 804,1 198 273,1 536 100,1 491 970,1 298 340,1 157 052,11 532 398
2007,2 193 030,1 289 524,1 403 957,1 201 994,1 544 411,1 502 340,1 302 889,1 160 721,11 598 866
2008,2 211 297,1 303 702,1 406 053,1 205 850,1 549 619,1 506 466,1 310 876,1 165 397,11 659 260
2009,2 234 105,1 313 414,1 407 560,1 208 004,1 561 745,1 515 983,1 318 537,1 168 392,11 728 240
2010,2 243 833,1 324 865,1 408 765,1 215 340,1 572 490,1 522 048,1 327 732,1 171 161,11 786 234
2011,2 249 975,1 338 427,1 413 635,1 225 191,1 581 628,1 529 928,1 333 702,1 180 365,11 852 851
2012,2 240 621,1 353 946,1 412 356,1 237 507,1 586 434,1 538 726,1 341 831,1 187 081,11 898 502
2013,2 229 621,1 365 200,1 418 484,1 253 931,1 591 503,1 552 482,1 354 005,1 194 681,11 959 807
2014,2 220 445,1 377 846,1 421 670,1 268 228,1 597 770,1 571 028,1 365 039,1 205 539,12 027 565
2015,2 206 488,1 390 121,1 427 291,1 276 233,1 601 569,1 592 663,1 372 389,1 215 390,12 082 144
2016,2 190 327,1 397 665,1 431 808,1 287 330,1 603 268,1 606 660,1 378 151,1 221 923,12 117 132
2017,2 187 526,1 403 997,1 438 266,1 296 130,1 609 306,1 623 111,1 387 926,1 228 618,12 174 880
2018,2 175 601,1 412 516,1 441 398,1 296 641,1 619 120,1 632 677,1 396 913,1 238 581,12 213 447
2019,2 165 423,1 421 197,1 448 207,1 301 659,1 624 357,1 644 903,1 407 124,1 249 674,12 262 544
2020,2 145 906,1 428 636,1 449 723,1 306 118,1 626 213,1 655 422,1 407 972,1 251 804,12 271 794
2021,2 133 111,1 438 100,1 456 365,1 313 768,1 635 291,1 668 670,1 415 367,1 256 607,12 317 279
2022,2 113 705,1 452 399,1 470 778,1 324 546,1 647 435,1 681 725,1 419 531,1 270 845,12 380 964
2023,2 087 600,1 464 800,1 473 700,1 331 800,1 651 400,1 701 000,1 433 900,1 275 700,12 419 900
2024,2 104 300,1 455 800,1 467 800,1 325 900,1 646 400,1 690 400,1 428 100,1 269 700,12 388 400
