Datetime,Consommation,Regions,Nature,year,month,day,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,GWETROOT,GWETTOP,PRECTOTCORR,PS,QV2M,RH2M,T2M,T2M_MAX,T2M_MIN,T2M_RANGE,WD10M,WS10M,WS2M
2020-01-01,403787.0,Auvergne-Rhône-Alpes,Données définitives,2020,1,1,5.494,6.859999999999999,0.768,0.7779999999999999,0.062,97.706,3.69,87.752,0.94,4.552,-0.758,5.3100000000000005,291.1,1.938,1.168
2020-01-02,443531.0,Auvergne-Rhône-Alpes,Données définitives,2020,1,2,4.532,6.448,0.768,0.7779999999999999,0.0419999999999999,97.484,4.194,87.35,2.6420000000000003,7.794,-0.6,8.394,175.38000000000002,3.454,2.14
2020-01-03,434626.0,Auvergne-Rhône-Alpes,Données définitives,2020,1,3,3.846,6.454000000000001,0.766,0.7779999999999999,0.318,97.456,4.872,89.086,4.57,8.597999999999999,1.944,6.653999999999999,196.0,2.976,1.748
2020-01-04,395169.0,Auvergne-Rhône-Alpes,Données définitives,2020,1,4,4.684,7.002000000000001,0.766,0.7779999999999999,0.346,97.844,4.846,94.106,3.732,7.036,-0.244,7.279999999999999,276.04,3.874,2.512
2020-01-05,400169.0,Auvergne-Rhône-Alpes,Données définitives,2020,1,5,6.516,7.209999999999999,0.766,0.7779999999999999,0.026,97.85,3.932,91.162,1.246,5.364,-1.542,6.906000000000001,236.76,3.654,2.338
2020-01-06,457041.0,Auvergne-Rhône-Alpes,Données définitives,2020,1,6,6.804,7.124,0.7619999999999999,0.7779999999999999,0.012,97.456,4.298,84.392,3.108,9.646,-1.22,10.866,180.11999999999998,3.252,1.9200000000000004
2020-01-07,458303.0,Auvergne-Rhône-Alpes,Données définitives,2020,1,7,5.108,7.254,0.7619999999999999,0.7779999999999999,0.21,97.576,4.926,92.268,4.151999999999999,7.776000000000001,0.442,7.334,207.92,2.458,1.56
2020-01-08,448538.0,Auvergne-Rhône-Alpes,Données définitives,2020,1,8,5.168,7.0200000000000005,0.76,0.778,0.2,97.596,5.23,87.202,5.794,9.388,3.342,6.046,143.92000000000002,1.884,1.136
2020-01-09,432461.0,Auvergne-Rhône-Alpes,Données définitives,2020,1,9,6.346,7.284000000000001,0.76,0.776,0.6319999999999999,96.876,4.824,77.97200000000001,6.182,10.868,2.9520000000000004,7.915999999999999,185.18,5.57,3.59
2020-01-10,425108.0,Auvergne-Rhône-Alpes,Données définitives,2020,1,10,4.65,7.38,0.7619999999999999,0.776,1.616,97.122,5.144,90.678,5.1,8.616000000000001,2.386,6.23,200.0,3.854,2.478
