date,year,month,day,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,GWETROOT,GWETTOP,PRECTOTCORR,PS,QV2M,RH2M,T2M,T2M_MAX,T2M_MIN,T2M_RANGE,WD10M,WS10M,WS2M,insee_dep,department
2020-01-01,2020,1,1,5.39,6.8,0.68,0.73,0.03,96.15,4.17,96.11,0.81,5.26,-1.36,6.62,314.6,1.44,0.82,83,Auvergne-Rhône-Alpes
2020-01-02,2020,1,2,4.78,6.45,0.68,0.73,0.01,95.93,4.41,92.78,2.44,8.35,-0.89,9.24,200.2,3.64,2.26,83,Auvergne-Rhône-Alpes
2020-01-03,2020,1,3,3.8,6.38,0.68,0.73,0.08,95.95,5.0,93.72,3.94,8.16,1.49,6.67,246.6,3.21,1.91,83,Auvergne-Rhône-Alpes
2020-01-04,2020,1,4,3.91,6.99,0.68,0.73,0.4,96.35,4.76,94.68,3.18,5.62,-0.64,6.26,335.6,4.34,2.77,83,Auvergne-Rhône-Alpes
2020-01-05,2020,1,5,5.85,7.13,0.67,0.73,0.09,96.35,3.96,93.92,0.77,4.06,-1.25,5.31,354.9,3.75,2.43,83,Auvergne-Rhône-Alpes
2020-01-06,2020,1,6,6.95,6.98,0.67,0.73,0.01,95.9,4.43,92.93,1.99,8.91,-2.41,11.32,201.8,3.69,2.08,83,Auvergne-Rhône-Alpes
2020-01-07,2020,1,7,4.64,7.23,0.67,0.73,0.12,96.07,5.09,96.32,3.83,6.98,0.86,6.12,315.3,2.52,1.5,83,Auvergne-Rhône-Alpes
2020-01-08,2020,1,8,5.05,7.02,0.67,0.73,0.12,96.07,6.15,97.34,6.37,9.64,4.13,5.51,256.7,1.31,0.66,83,Auvergne-Rhône-Alpes
2020-01-09,2020,1,9,6.65,7.27,0.67,0.73,0.71,95.34,5.22,86.96,5.84,10.4,2.91,7.49,193.1,5.98,3.85,83,Auvergne-Rhône-Alpes
2020-01-10,2020,1,10,4.48,7.33,0.67,0.73,0.9,95.62,5.03,92.85,4.34,8.3,2.08,6.22,285.8,3.68,2.3,83,Auvergne-Rhône-Alpes
2020-01-11,2020,1,11,4.02,7.71,0.67,0.73,0.09,96.19,4.17,93.62,1.63,5.07,-1.81,6.88,352.4,2.9,1.92,83,Auvergne-Rhône-Alpes
2020-01-12,2020,1,12,7.45,7.75,0.67,0.73,0.0,95.91,2.94,72.18,0.8,6.92,-3.42,10.34,270.1,1.85,0.99,83,Auvergne-Rhône-Alpes
2020-01-13,2020,1,13,5.23,7.53,0.67,0.73,0.02,95.26,4.43,89.01,2.98,7.1,-1.01,8.11,188.1,3.88,2.45,83,Auvergne-Rhône-Alpes
2020-01-14,2020,1,14,6.28,7.47,0.67,0.72,0.03,94.97,5.2,89.34,5.22,8.89,2.25,6.64,184.3,8.34,5.55,83,Auvergne-Rhône-Alpes
2020-01-15,2020,1,15,3.99,7.64,0.67,0.72,0.16,95.31,5.58,88.91,6.4,9.23,4.08,5.15,187.2,7.89,5.19,83,Auvergne-Rhône-Alpes
2020-01-16,2020,1,16,7.6,7.76,0.67,0.72,0.05,95.67,5.51,90.7,5.84,10.49,1.64,8.85,184.1,5.01,3.13,83,Auvergne-Rhône-Alpes
2020-01-17,2020,1,17,1.8,7.19,0.67,0.74,5.3,95.46,5.56,93.72,5.5,8.46,1.34,7.12,220.9,4.89,3.14,83,Auvergne-Rhône-Alpes
2020-01-18,2020,1,18,7.12,8.49,0.67,0.73,0.08,95.79,4.05,91.17,1.61,5.16,-0.56,5.72,351.7,3.09,1.96,83,Auvergne-Rhône-Alpes
2020-01-19,2020,1,19,6.67,8.54,0.67,0.73,0.08,96.12,3.5,90.65,-0.18,2.86,-1.65,4.51,6.7,8.05,5.43,83,Auvergne-Rhône-Alpes
2020-01-20,2020,1,20,6.66,8.06,0.67,0.72,0.05,96.63,3.11,90.34,-1.59,2.74,-3.71,6.45,2.7,4.15,2.74,83,Auvergne-Rhône-Alpes
2020-01-21,2020,1,21,6.18,7.77,0.67,0.72,0.02,96.63,3.0,88.71,-1.79,1.36,-3.55,4.91,358.8,1.43,0.82,83,Auvergne-Rhône-Alpes
2020-01-22,2020,1,22,5.53,6.94,0.67,0.72,0.06,96.14,3.3,82.38,0.24,5.0,-1.76,6.76,88.8,1.08,0.64,83,Auvergne-Rhône-Alpes
2020-01-23,2020,1,23,4.9,6.92,0.67,0.72,0.01,95.61,4.2,86.06,1.63,4.62,-0.81,5.43,168.7,2.18,1.11,83,Auvergne-Rhône-Alpes
2020-01-24,2020,1,24,5.8,7.53,0.67,0.72,0.04,95.37,5.26,95.94,3.52,9.3,0.98,8.32,186.6,2.67,1.39,83,Auvergne-Rhône-Alpes
2020-01-25,2020,1,25,5.16,7.84,0.67,0.72,0.39,95.13,5.07,93.91,3.52,9.42,0.31,9.11,191.8,2.95,1.62,83,Auvergne-Rhône-Alpes
2020-01-26,2020,1,26,4.56,8.1,0.67,0.73,2.58,95.0,5.2,96.23,3.84,8.69,0.52,8.17,213.3,2.75,1.42,83,Auvergne-Rhône-Alpes
2020-01-27,2020,1,27,3.87,8.35,0.67,0.73,1.21,94.64,4.81,92.29,3.44,6.68,0.01,6.67,198.1,5.0,3.23,83,Auvergne-Rhône-Alpes
2020-01-28,2020,1,28,4.04,9.23,0.67,0.73,1.46,94.3,5.02,85.39,5.33,7.62,3.87,3.75,252.3,6.71,4.4,83,Auvergne-Rhône-Alpes
2020-01-29,2020,1,29,4.74,9.28,0.67,0.73,1.18,94.94,4.95,93.27,3.86,7.53,0.25,7.28,270.2,3.35,1.98,83,Auvergne-Rhône-Alpes
2020-01-30,2020,1,30,3.41,9.08,0.67,0.74,3.18,94.92,5.44,94.97,4.55,8.75,-1.12,9.87,208.3,3.36,1.96,83,Auvergne-Rhône-Alpes
2020-01-31,2020,1,31,7.37,9.32,0.68,0.73,0.29,95.01,6.78,96.13,7.66,12.19,4.5,7.69,249.6,2.53,1.32,83,Auvergne-Rhône-Alpes
2020-02-01,2020,2,1,3.92,9.26,0.68,0.73,1.24,94.93,6.34,94.37,7.0,12.64,4.21,8.43,230.3,4.46,2.73,83,Auvergne-Rhône-Alpes
2020-02-02,2020,2,2,1.87,9.15,0.68,0.74,2.37,95.35,7.41,94.33,9.47,14.14,4.51,9.63,242.6,4.28,2.6,83,Auvergne-Rhône-Alpes
2020-02-03,2020,2,3,7.19,9.12,0.68,0.73,0.03,95.48,6.83,87.58,9.56,15.61,6.25,9.36,248.6,3.85,2.23,83,Auvergne-Rhône-Alpes
2020-02-04,2020,2,4,6.39,10.72,0.68,0.73,2.11,95.44,4.54,85.23,4.0,7.98,1.33,6.65,310.0,7.79,5.21,83,Auvergne-Rhône-Alpes
2020-02-05,2020,2,5,9.05,11.05,0.68,0.73,0.46,96.25,4.15,90.05,2.18,6.17,-2.14,8.31,356.3,5.32,3.52,83,Auvergne-Rhône-Alpes
2020-02-06,2020,2,6,8.49,10.71,0.67,0.73,0.0,95.81,3.61,86.64,0.69,6.55,-3.29,9.84,147.9,2.68,1.45,83,Auvergne-Rhône-Alpes
2020-02-07,2020,2,7,10.7,10.85,0.67,0.73,0.0,95.48,4.57,88.52,3.64,10.64,-1.13,11.77,186.8,4.04,2.36,83,Auvergne-Rhône-Alpes
2020-02-08,2020,2,8,10.05,10.79,0.67,0.72,0.0,95.48,5.01,89.29,4.51,10.53,-0.51,11.04,198.2,4.36,2.62,83,Auvergne-Rhône-Alpes
2020-02-09,2020,2,9,8.53,10.6,0.67,0.72,0.05,95.42,5.41,88.98,5.59,9.46,1.34,8.12,197.5,7.21,4.7,83,Auvergne-Rhône-Alpes
2020-02-10,2020,2,10,6.46,11.13,0.67,0.72,0.21,95.01,6.21,80.89,9.28,11.73,7.16,4.57,252.0,8.26,5.52,83,Auvergne-Rhône-Alpes
2020-02-11,2020,2,11,5.39,11.2,0.66,0.72,1.28,95.14,5.23,85.53,6.03,9.81,0.62,9.19,282.7,5.31,3.43,83,Auvergne-Rhône-Alpes
2020-02-12,2020,2,12,10.76,12.07,0.66,0.72,0.04,95.43,3.83,79.98,2.81,7.68,-1.16,8.84,278.2,2.25,1.39,83,Auvergne-Rhône-Alpes
2020-02-13,2020,2,13,3.62,11.11,0.66,0.72,0.8,94.75,4.95,85.04,4.84,10.52,-1.53,12.05,227.3,6.41,4.14,83,Auvergne-Rhône-Alpes
