date,year,month,day,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,GWETROOT,GWETTOP,PRECTOTCORR,PS,QV2M,RH2M,T2M,T2M_MAX,T2M_MIN,T2M_RANGE,WD10M,WS10M,WS2M,insee_dep,department
2020-01-01,2020,1,1,1.79,5.19,0.58,0.6,0.68,101.91,4.25,98.5,1.95,3.86,0.25,3.61,160.8,3.07,2.06,75,Paris
2020-01-02,2020,1,2,2.09,4.76,0.58,0.6,0.68,101.39,5.27,98.45,4.84,6.7,2.63,4.07,199.1,4.2,2.84,75,Paris
2020-01-03,2020,1,3,2.69,5.16,0.58,0.6,1.01,101.3,5.83,94.04,6.97,11.43,1.89,9.54,245.7,6.39,4.41,75,Paris
2020-01-04,2020,1,4,4.69,5.51,0.58,0.6,0.18,102.34,4.76,94.54,3.88,8.65,0.15,8.5,297.1,3.43,2.08,75,Paris
2020-01-05,2020,1,5,3.75,5.69,0.58,0.6,0.11,102.39,4.66,92.34,4.1,8.27,-0.92,9.19,207.4,1.75,0.99,75,Paris
2020-01-06,2020,1,6,5.74,5.79,0.58,0.6,0.14,101.52,4.02,90.27,2.28,6.3,-1.18,7.48,191.7,4.9,3.38,75,Paris
2020-01-07,2020,1,7,2.21,5.49,0.58,0.6,0.38,101.61,5.96,98.17,6.58,8.7,4.12,4.58,209.0,4.13,2.77,75,Paris
2020-01-08,2020,1,8,1.85,5.25,0.58,0.6,1.02,101.4,7.15,96.26,9.7,11.37,8.81,2.56,213.3,4.99,3.42,75,Paris
2020-01-09,2020,1,9,1.71,5.1,0.59,0.64,8.04,100.35,6.92,91.49,9.87,12.47,7.99,4.48,201.4,7.81,5.47,75,Paris
2020-01-10,2020,1,10,2.42,5.82,0.59,0.61,0.8,101.13,5.34,92.52,5.6,8.28,1.29,6.99,288.3,4.89,3.23,75,Paris
2020-01-11,2020,1,11,4.36,6.0,0.59,0.61,0.01,102.0,4.28,91.53,2.94,7.19,0.25,6.94,203.6,4.13,2.76,75,Paris
2020-01-12,2020,1,12,2.7,5.77,0.59,0.61,0.16,101.37,5.07,94.36,4.76,7.96,1.24,6.72,212.4,5.78,4.01,75,Paris
2020-01-13,2020,1,13,2.47,5.86,0.58,0.61,0.42,100.52,5.65,93.87,6.51,7.84,5.23,2.61,194.4,6.61,4.64,75,Paris
2020-01-14,2020,1,14,1.98,5.59,0.58,0.61,1.57,99.78,5.32,81.18,7.62,9.28,5.61,3.67,202.1,10.95,7.71,75,Paris
2020-01-15,2020,1,15,3.18,6.04,0.58,0.61,1.16,100.35,5.84,89.77,7.51,12.09,4.53,7.56,206.4,7.61,5.25,75,Paris
2020-01-16,2020,1,16,6.25,6.42,0.58,0.6,0.12,101.01,5.72,91.38,7.19,12.87,3.67,9.2,165.0,5.66,3.96,75,Paris
2020-01-17,2020,1,17,3.75,6.24,0.59,0.62,2.38,100.75,5.54,91.4,6.59,9.76,3.24,6.52,223.9,6.04,4.16,75,Paris
2020-01-18,2020,1,18,5.89,6.61,0.59,0.6,0.12,101.66,4.42,93.16,3.14,7.55,-1.56,9.11,273.3,3.7,2.4,75,Paris
2020-01-19,2020,1,19,5.44,6.6,0.58,0.6,0.05,102.81,3.99,89.84,2.58,7.13,-1.47,8.6,14.7,5.21,3.62,75,Paris
2020-01-20,2020,1,20,6.91,6.92,0.58,0.6,0.12,103.37,3.83,91.97,1.65,5.97,-0.81,6.78,43.3,4.48,3.12,75,Paris
2020-01-21,2020,1,21,6.78,6.86,0.58,0.6,0.03,102.91,3.25,91.9,-0.79,4.26,-3.67,7.93,57.4,2.98,1.91,75,Paris
2020-01-22,2020,1,22,6.86,6.98,0.58,0.6,0.07,102.37,3.15,93.27,-1.38,3.4,-3.16,6.56,51.7,3.57,2.45,75,Paris
2020-01-23,2020,1,23,6.02,6.59,0.58,0.6,0.06,101.75,3.26,92.15,-0.73,4.14,-3.42,7.56,74.0,4.17,2.92,75,Paris
2020-01-24,2020,1,24,6.21,6.52,0.58,0.6,0.23,101.18,3.6,96.92,-0.16,1.67,-2.35,4.02,130.7,1.56,1.05,75,Paris
2020-01-25,2020,1,25,4.67,6.03,0.58,0.6,0.08,100.87,4.78,94.92,3.62,7.94,0.86,7.08,158.5,2.72,1.8,75,Paris
2020-01-26,2020,1,26,3.95,6.31,0.58,0.6,1.87,100.44,5.24,96.59,4.92,6.82,2.67,4.15,191.2,4.86,3.44,75,Paris
2020-01-27,2020,1,27,1.56,7.05,0.59,0.65,7.79,99.49,5.96,93.42,7.2,8.08,6.22,1.86,208.3,8.29,5.84,75,Paris
2020-01-28,2020,1,28,4.93,7.78,0.6,0.65,6.72,99.04,4.85,85.97,5.39,7.15,3.38,3.77,249.3,9.49,6.7,75,Paris
2020-01-29,2020,1,29,5.21,7.79,0.6,0.62,0.28,100.18,4.95,90.7,5.13,9.38,3.28,6.1,251.5,5.94,4.12,75,Paris
2020-01-30,2020,1,30,1.87,7.52,0.6,0.63,3.36,99.93,6.48,95.89,7.84,11.91,4.28,7.63,206.4,6.88,4.83,75,Paris
2020-01-31,2020,1,31,4.19,7.86,0.6,0.62,0.48,100.12,7.5,93.22,10.73,13.08,8.69,4.39,223.2,6.2,4.34,75,Paris
2020-02-01,2020,2,1,4.84,7.86,0.61,0.67,11.85,99.9,7.49,89.64,11.32,14.16,9.89,4.27,237.2,7.62,5.36,75,Paris
2020-02-02,2020,2,2,2.14,7.57,0.63,0.67,11.17,100.18,7.98,89.8,12.3,16.22,9.89,6.33,241.2,7.04,4.92,75,Paris
2020-02-03,2020,2,3,2.44,7.07,0.63,0.69,13.05,100.43,7.45,92.93,10.68,12.23,5.83,6.4,259.1,5.9,4.12,75,Paris
2020-02-04,2020,2,4,5.64,8.88,0.64,0.66,0.71,101.11,4.65,83.8,5.61,8.43,3.01,5.42,300.4,7.84,5.5,75,Paris
2020-02-05,2020,2,5,5.48,8.96,0.63,0.65,0.12,102.37,4.56,88.26,4.72,9.27,1.96,7.31,22.2,2.56,1.69,75,Paris
2020-02-06,2020,2,6,9.44,9.48,0.62,0.64,0.02,101.93,3.81,83.59,3.04,9.32,-1.01,10.33,98.6,2.84,1.9,75,Paris
2020-02-07,2020,2,7,9.1,9.24,0.62,0.63,0.03,101.11,4.29,88.14,3.37,10.75,-2.74,13.49,161.1,4.44,2.97,75,Paris
2020-02-08,2020,2,8,3.35,8.12,0.61,0.64,1.61,100.9,5.7,94.89,6.35,10.03,3.6,6.43,211.4,4.96,3.38,75,Paris
2020-02-09,2020,2,9,4.52,8.54,0.61,0.65,5.82,99.81,6.59,88.67,9.44,12.99,5.63,7.36,213.4,13.41,9.51,75,Paris
2020-02-10,2020,2,10,6.58,9.41,0.62,0.66,5.34,99.5,5.55,74.15,9.62,12.2,7.08,5.12,253.8,13.38,9.5,75,Paris
2020-02-11,2020,2,11,7.36,10.37,0.62,0.65,2.53,100.26,4.6,82.14,5.53,8.69,1.88,6.81,258.0,9.42,6.66,75,Paris
2020-02-12,2020,2,12,7.56,10.21,0.62,0.64,0.36,100.75,4.6,87.36,4.77,9.05,1.77,7.28,241.7,6.37,4.44,75,Paris
2020-02-13,2020,2,13,5.68,9.98,0.62,0.66,6.97,99.47,5.25,84.37,7.02,11.54,3.3,8.24,232.6,10.38,7.34,75,Paris
2020-02-14,2020,2,14,5.39,10.25,0.62,0.64,0.37,100.95,5.71,85.69,8.23,12.36,6.1,6.26,239.9,4.83,3.33,75,Paris
2020-02-15,2020,2,15,9.03,10.46,0.62,0.64,0.24,100.68,6.12,85.9,9.12,13.37,5.85,7.52,199.3,8.1,5.73,75,Paris
2020-02-16,2020,2,16,6.79,10.02,0.62,0.66,8.71,99.78,7.1,79.2,12.41,16.42,8.0,8.42,216.2,12.82,9.09,75,Paris
2020-02-17,2020,2,17,7.69,11.1,0.63,0.65,1.08,100.63,5.45,82.04,8.11,11.13,4.43,6.7,236.3,8.03,5.68,75,Paris
2020-02-18,2020,2,18,8.72,11.08,0.62,0.64,1.28,101.37,4.88,82.63,6.55,10.4,3.31,7.09,236.5,7.62,5.41,75,Paris
2020-02-19,2020,2,19,6.97,10.75,0.63,0.66,4.45,101.16,5.19,84.93,6.92,9.44,4.67,4.77,253.8,6.43,4.54,75,Paris
2020-02-20,2020,2,20,4.18,11.07,0.62,0.65,2.8,100.81,5.73,89.73,7.47,11.37,2.73,8.64,231.1,7.86,5.53,75,Paris
2020-02-21,2020,2,21,10.02,12.01,0.62,0.64,0.04,101.72,4.32,82.94,4.96,10.53,1.45,9.08,233.6,5.51,3.87,75,Paris
2020-02-22,2020,2,22,9.77,11.93,0.62,0.64,0.88,101.53,5.63,87.78,7.5,12.73,2.26,10.47,227.8,7.47,5.28,75,Paris
2020-02-23,2020,2,23,2.56,11.82,0.62,0.64,1.64,101.21,7.39,90.43,11.11,14.47,8.33,6.14,241.4,9.13,6.43,75,Paris
2020-02-24,2020,2,24,4.67,12.37,0.62,0.65,4.09,100.59,6.92,86.95,10.7,13.46,8.7,4.76,233.3,8.29,5.84,75,Paris
