Regions,Summer,Winter,Winter/Summer ratio
Ile-de-France,283112.1782608696,461888.3030973451,1.631467448467529
Centre-Val de Loire,77584.30652173913,125757.19469026549,1.620910211461751
Bretagne,95992.22391304348,153754.00442477877,1.6017339546592857
Pays-de-la-Loire,115074.68913043478,182289.48008849556,1.584097089168533
Normandie,116083.10434782608,182684.24778761063,1.573736753629744
Bourgogne-Franche-Comté,90224.20434782609,136801.6615044248,1.5162412624558763
Nouvelle-Aquitaine,195475.10652173913,289234.97123893804,1.4796511759760658
Auvergne-Rhône-Alpes,291115.9347826087,423956.33185840707,1.4563144136201172
Occitanie,179133.7152173913,255156.1592920354,1.4243893673638464
Grand-Est,197628.03695652174,280775.7168141593,1.420728157492806
Hauts-de-France,218328.28043478262,307269.6769911504,1.4073746029568337
PACA,201551.21086956523,262814.2300884956,1.3039575845494522
